trial,epochs,subtype,Train ERM accuracy,Train ERM loss
0,0,adenosis,0.7259414225941423,0.5180789570136325
0,0,fibroadenoma,0.7757936507936508,0.5180789570136325
0,0,tubular_adenoma,0.7429718875502008,0.5180789570136325
0,0,phyllodes_tumor,0.8218029350104822,0.5180789570136325
0,0,ductal_carcinoma,0.7568134171907757,0.5180789570136325
0,0,lobular_carcinoma,0.74235807860262,0.5180789570136325
0,0,mucinous_carcinoma,0.6296296296296297,0.5180789570136325
0,0,papillary_carcinoma,0.613682092555332,0.5180789570136325
0,0,overall,0.7256774193548388,0.5180789570136325
0,1,adenosis,0.7665952890792291,0.4139269749200884
0,1,fibroadenoma,0.8241525423728814,0.4139269749200884
0,1,tubular_adenoma,0.8369565217391305,0.4139269749200884
0,1,phyllodes_tumor,0.8464818763326226,0.4139269749200884
0,1,ductal_carcinoma,0.9157088122605364,0.4139269749200884
0,1,lobular_carcinoma,0.8976833976833977,0.4139269749200884
0,1,mucinous_carcinoma,0.7434782608695653,0.4139269749200884
0,1,papillary_carcinoma,0.6942800788954635,0.4139269749200884
0,1,overall,0.8170322580645162,0.4139269749200884
0,2,adenosis,0.7693965517241379,0.3763506352410885
0,2,fibroadenoma,0.8224101479915433,0.3763506352410885
0,2,tubular_adenoma,0.8469387755102041,0.3763506352410885
0,2,phyllodes_tumor,0.871578947368421,0.3763506352410885
0,2,ductal_carcinoma,0.9305263157894736,0.3763506352410885
0,2,lobular_carcinoma,0.9123505976095617,0.3763506352410885
0,2,mucinous_carcinoma,0.7849898580121704,0.3763506352410885
0,2,papillary_carcinoma,0.7554671968190855,0.3763506352410885
0,2,overall,0.8366451612903226,0.3763506352410885
0,3,adenosis,0.8052738336713996,0.35897971959516345
0,3,fibroadenoma,0.8154158215010142,0.35897971959516345
0,3,tubular_adenoma,0.8464912280701754,0.35897971959516345
0,3,phyllodes_tumor,0.8669438669438669,0.35897971959516345
0,3,ductal_carcinoma,0.9129593810444874,0.35897971959516345
0,3,lobular_carcinoma,0.9173553719008265,0.35897971959516345
0,3,mucinous_carcinoma,0.7747933884297521,0.35897971959516345
0,3,papillary_carcinoma,0.7430406852248393,0.35897971959516345
0,3,overall,0.8361290322580646,0.35897971959516345
0,4,adenosis,0.8142548596112311,0.34081673726378153
0,4,fibroadenoma,0.8212058212058212,0.34081673726378153
0,4,tubular_adenoma,0.834319526627219,0.34081673726378153
0,4,phyllodes_tumor,0.86652977412731,0.34081673726378153
0,4,ductal_carcinoma,0.9180672268907563,0.34081673726378153
0,4,lobular_carcinoma,0.9074074074074074,0.34081673726378153
0,4,mucinous_carcinoma,0.7750556792873051,0.34081673726378153
0,4,papillary_carcinoma,0.7661596958174905,0.34081673726378153
0,4,overall,0.8376774193548387,0.34081673726378153
0,5,adenosis,0.8159509202453987,0.31449562476740944
0,5,fibroadenoma,0.8501118568232662,0.31449562476740944
0,5,tubular_adenoma,0.8459915611814346,0.31449562476740944
0,5,phyllodes_tumor,0.8641732283464567,0.31449562476740944
0,5,ductal_carcinoma,0.9302832244008714,0.31449562476740944
0,5,lobular_carcinoma,0.8804554079696395,0.31449562476740944
0,5,mucinous_carcinoma,0.8055555555555556,0.31449562476740944
0,5,papillary_carcinoma,0.7987152034261242,0.31449562476740944
0,5,overall,0.8487741935483871,0.31449562476740944
0,6,adenosis,0.8242424242424242,0.31180054510449184
0,6,fibroadenoma,0.836027713625866,0.31180054510449184
0,6,tubular_adenoma,0.84765625,0.31180054510449184
0,6,phyllodes_tumor,0.8974358974358975,0.31180054510449184
0,6,ductal_carcinoma,0.9196940726577438,0.31180054510449184
0,6,lobular_carcinoma,0.9136546184738956,0.31180054510449184
0,6,mucinous_carcinoma,0.8154158215010142,0.31180054510449184
0,6,papillary_carcinoma,0.806910569105691,0.31180054510449184
0,6,overall,0.8578064516129033,0.31180054510449184
0,7,adenosis,0.8603773584905661,0.30758876595722795
0,7,fibroadenoma,0.8348214285714286,0.30758876595722795
0,7,tubular_adenoma,0.8471337579617835,0.30758876595722795
0,7,phyllodes_tumor,0.8595744680851064,0.30758876595722795
0,7,ductal_carcinoma,0.9287211740041929,0.30758876595722795
0,7,lobular_carcinoma,0.8829568788501027,0.30758876595722795
0,7,mucinous_carcinoma,0.8236472945891784,0.30758876595722795
0,7,papillary_carcinoma,0.7789046653144016,0.30758876595722795
0,7,overall,0.8518709677419355,0.30758876595722795
0,8,adenosis,0.878099173553719,0.29881935673976634
0,8,fibroadenoma,0.8519230769230769,0.29881935673976634
0,8,tubular_adenoma,0.8744588744588745,0.29881935673976634
0,8,phyllodes_tumor,0.8916155419222904,0.29881935673976634
0,8,ductal_carcinoma,0.925531914893617,0.29881935673976634
0,8,lobular_carcinoma,0.904572564612326,0.29881935673976634
0,8,mucinous_carcinoma,0.7827004219409283,0.29881935673976634
0,8,papillary_carcinoma,0.7970401691331924,0.29881935673976634
0,8,overall,0.8634838709677419,0.29881935673976634
0,9,adenosis,0.8777555110220441,0.2778724867375299
0,9,fibroadenoma,0.8333333333333334,0.2778724867375299
0,9,tubular_adenoma,0.8461538461538461,0.2778724867375299
0,9,phyllodes_tumor,0.8884462151394422,0.2778724867375299
0,9,ductal_carcinoma,0.9227642276422764,0.2778724867375299
0,9,lobular_carcinoma,0.8944099378881988,0.2778724867375299
0,9,mucinous_carcinoma,0.8389261744966443,0.2778724867375299
0,9,papillary_carcinoma,0.8008565310492506,0.2778724867375299
0,9,overall,0.8634838709677419,0.2778724867375299
0,10,adenosis,0.8353658536585366,0.29391026052305236
