trial,epochs,subtype,Train ERM accuracy,Train ERM loss
0,0,adenosis,0.03982300884955752,0.5590358984813769
0,0,fibroadenoma,0.14256198347107438,0.5590358984813769
0,0,tubular_adenoma,0.12411347517730496,0.5590358984813769
0,0,phyllodes_tumor,0.1031390134529148,0.5590358984813769
0,0,ductal_carcinoma,0.9929411764705882,0.5590358984813769
0,0,lobular_carcinoma,1.0,0.5590358984813769
0,0,mucinous_carcinoma,0.9828431372549019,0.5590358984813769
0,0,papillary_carcinoma,0.996268656716418,0.5590358984813769
0,0,overall,0.7163870967741935,0.5590358984813769
0,1,adenosis,0.25663716814159293,0.4536134791962894
0,1,fibroadenoma,0.5289256198347108,0.4536134791962894
0,1,tubular_adenoma,0.4858156028368794,0.4536134791962894
0,1,phyllodes_tumor,0.4663677130044843,0.4536134791962894
0,1,ductal_carcinoma,0.9947058823529412,0.4536134791962894
0,1,lobular_carcinoma,0.9894366197183099,0.4536134791962894
0,1,mucinous_carcinoma,0.9240196078431373,0.4536134791962894
0,1,papillary_carcinoma,0.9291044776119403,0.4536134791962894
0,1,overall,0.8136774193548387,0.4536134791962894
0,2,adenosis,0.3893805309734513,0.40319463714895915
0,2,fibroadenoma,0.6756198347107438,0.40319463714895915
0,2,tubular_adenoma,0.6134751773049646,0.40319463714895915
0,2,phyllodes_tumor,0.6053811659192825,0.40319463714895915
0,2,ductal_carcinoma,0.9858823529411764,0.40319463714895915
0,2,lobular_carcinoma,0.9859154929577465,0.40319463714895915
0,2,mucinous_carcinoma,0.8970588235294118,0.40319463714895915
0,2,papillary_carcinoma,0.8880597014925373,0.40319463714895915
0,2,overall,0.8472258064516129,0.40319463714895915
0,3,adenosis,0.4557522123893805,0.37374109918933834
0,3,fibroadenoma,0.7272727272727273,0.37374109918933834
0,3,tubular_adenoma,0.6453900709219859,0.37374109918933834
0,3,phyllodes_tumor,0.6681614349775785,0.37374109918933834
0,3,ductal_carcinoma,0.9835294117647059,0.37374109918933834
0,3,lobular_carcinoma,0.9788732394366197,0.37374109918933834
0,3,mucinous_carcinoma,0.8848039215686274,0.37374109918933834
0,3,papillary_carcinoma,0.8768656716417911,0.37374109918933834
0,3,overall,0.8598709677419355,0.37374109918933834
